"","study","yi","vyi"
"1","Golder 2011",-0.385262400790645,1.96025241164957
"2","Golder 2011",-0.405465108108164,1.91530721106996
"3","Golder 2011",-1.07158361628019,0.339598306422117
"4","Golder 2011",-0.0487901641694321,0.0174212104989058
"5","Golder 2011",0.0725706928348354,0.0147559904707776
"6","Golder 2011",-0.173953307123438,0.00749103624971443
"7","Golder 2011",0.105360515657826,0.0124496887382992
"8","Golder 2011",1.07880966137193,0.353302119519491
"9","Golder 2011",-0.314810739840034,0.396964198157718
"10","Golder 2011",0.174353387144778,0.0622892380987638
"11","Golder 2011",-0.53062825106217,0.100048003637607
"12","Golder 2011",-0.322083499169113,0.0956409087065121
"13","Golder 2011",-1.67335123817775,0.167933497979872
"14","Golder 2011",-0.113328685307003,0.0113442768345828
"15","Golder 2011",0.162518929497775,0.0324635414126494
"16","Golder 2011",0.994252273343867,0.278036668795097
"17","Golder 2011",0.994252273343867,0.257333900788978
"18","Golder 2011",1.23787435600162,0.221850888621401
"19","Golder 2011",0.891598119283784,0.258217685569948
"20","Golder 2011",1.34707364796661,0.628716603970308
"21","Golder 2011",0.653926467406664,1.29310999491804
"22","Golder 2011",0.2484613592985,0.162787621481993
"23","Golder 2011",-1.00063188030791,0.264280274912305
"24","Golder 2011",-0.157003748809665,0.154830094082779
"25","Golder 2011",-0.810930216216329,0.670571351874259
"26","Golder 2011",-0.336472236621213,0.183287307620735
"27","Golder 2011",-0.482426149244293,0.0436680805282404
"28","Golder 2011",0.139262067333508,0.112727361161048
"29","Golder 2011",-0.0953101798043249,1.04664964963218
"30","Golder 2011",-0.0861776962410524,1.018643808665
"31","Golder 2011",0.371063681390832,0.341754716320182
"32","Golder 2011",-0.00995033085316809,0.0302179334296941
"33","Golder 2011",-0.3293037471426,0.0354126633699125
"34","Golder 2011",0.083381608939051,0.0283901446918069
"35","Golder 2011",-0.3293037471426,0.0548807238018032
"36","Golder 2011",-0.19062035960865,0.0422163873594879
"37","Golder 2011",-0.688134638736401,0.334275390009876
"38","Golder 2011",-0.582215619852664,0.328020996807875
"39","Golder 2011",-0.482426149244293,0.0620827755967213
"40","Golder 2011",0.430782916092454,0.514124397044129
"41","Golder 2011",-0.285178942233662,0.119662282145634
"42","Golder 2011",1.13943428318836,0.0613615426294028
"43","Golder 2011",-0.371563556432483,0.115179044634703
"44","Golder 2011",-0.254642218373581,0.0606090926082806
"45","Golder 2011",0.385662480811985,0.0939562932265046
"46","Golder 2011",2.40794560865187,0.729461704771573
"47","Golder 2011",0.0304592074847087,0.0223210998030814
"48","Golder 2011",-0.0487901641694321,0.00791342691091605
"49","Golder 2011",-0.27002713721306,0.0455071604277937
"50","Golder 2011",0.2484613592985,0.162787621481993
"51","Golder 2011",-0.779324876800998,0.27561578695845
"52","Golder 2011",-0.157003748809665,0.0833066375251464
"53","Golder 2011",-0.53062825106217,0.103121013700963
"54","Golder 2011",-0.300104592450338,0.122401734866458
"55","Golder 2011",0.261364764134408,0.0164413950038768
"56","Golder 2011",0.0512932943875505,0.0348909542269917
"57","Golder 2011",0.867500567704723,0.160054440303662
"58","Golder 2011",-0.0861776962410524,0.343847544185482
"59","Shikata 2006",-0.0968498259899178,0.462398748407378
"60","Shikata 2006",0.594707107746693,3.77052894616193
"61","Shikata 2006",0.395756293981203,0.221779052358086
"62","Shikata 2006",0.302872237945756,0.0863477435334404
"63","Shikata 2006",0.148845627597565,0.740145797959336
"64","Shikata 2006",-0.592503654780258,0.599290826666112
"65","Shikata 2006",0.488156823953278,0.077431519413985
"66","Shikata 2006",-1.59893519023495,0.0483473830686574
"67","Shikata 2006",-0.538109582714459,0.387579486426223
"68","Shikata 2006",0.384142338639343,0.4237847954042
"69","Shikata 2006",0.360002734031407,1.21426164098267
"70","Shikata 2006",2.47793798047191,90.1979743065739
"71","Shikata 2006",0.435318071257845,0.446342290140209
"72","Shikata 2006",0.34484048629173,0.0915658517757467
"73","Shikata 2006",-0.895671444671419,0.366426839592311
"74","Shikata 2006",-0.653141845946246,1.1651101475115
"75","Shikata 2006",-0.23967285326542,0.0798797469822957
"76","Shikata 2006",1.51753655015028,1.23533034549182
"77","Shikata 2006",0.806701880106808,0.154734560886518
"78","Shikata 2006",0.275103290244921,0.629658542569188
"79","Shikata 2006",0,2.1984500161694
"80","Shikata 2006",-1.28291600666606,3.86363389783991
"81","Shikata 2006",0.189756535281473,0.37316729163373
"82","Shikata 2006",0.704708002961021,1.45545483109725
"83","Shikata 2006",1.77470668084534,0.173351577458508
"84","Shikata 2006",-1.3745983213567,0.217135711776439
"85","Shikata 2006",0.958254930973187,0.567286340742679
"86","Shikata 2006",0.0168071183163812,0.194029639680938
"87","Shikata 2006",0.349375641457121,0.221642878627658
"88","Shikata 2006",0.0699585886069105,0.388691048325481
"89","Shikata 2006",0.158470340971775,0.0550901564328148
"90","Shikata 2006",0.0515718071313089,0.0245218813750799
"91","Shikata 2006",-1.10424610638637,2.92140388629639
"92","Shikata 2006",-2.37748640116716,1.1221535078126
"93","Shikata 2006",-0.11081436634029,0.101946257187035
"94","Shikata 2006",0.237328186306166,2.27741435471031
"95","Shikata 2006",-0.363965377201412,0.903570213754165
"96","Shikata 2006",-0.665495649229435,1.51184643379998
"97","Shikata 2006",-1.33332882553998,0.109507791730246
"98","Shikata 2006",0.240385357748716,0.0249038260273616
"99","Shikata 2006",1.54044504094715,12.1671256045906
"100","Shikata 2006",-0.455475528682826,0.629170841590625
"101","Shikata 2006",0.295464212893836,9.85726167159319
"102","Shikata 2006",-2.47560425712569,300.655999381207
"103","Shikata 2006",-0.998528830111127,29.5208693437385
"104","Shikata 2006",-2.56494935746154,299.679321760621
"105","Shikata 2006",1.18299968094566,1.24663262570283
"106","Shikata 2006",0,0.107522740490594
"107","Shikata 2006",0.715620036412004,1.27379245292392
"108","Shikata 2006",0.350860974073313,0.562162109581165
"109","Shikata 2006",0.595691844409232,2.63114222923215
"110","Shikata 2006",-0.463572738915445,2.03123246317733
"111","Franklin 2020",-0.0591888713903306,0.00542772173428282
"112","Franklin 2020",-0.184734103199339,0.020947825388121
"113","Franklin 2020",-0.0355066884569099,0.0138654447561311
"114","Franklin 2020",-0.110541874399824,0.00938897112246536
"115","Franklin 2020",-0.125163142954006,0.00604859560415042
"116","Franklin 2020",-0.0963311089384321,0.00322973790791221
"117","Franklin 2020",-0.210721031315653,0.00476687275166028
"118","Franklin 2020",-0.0741079721537218,0.0126364889974065
"119","Franklin 2020",0.0828876598057676,0.00759175053832009
"120","Franklin 2020",0.0909717782057268,0.00632779808678294
